mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.007992076873779296;0.0018424443901812937;0.014188528060913086;0.0032472494064940236;auto;5;uniform;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.7945205479452054;0.7671232876712328;0.726027397260274;0.6986301369863014;0.7945205479452054;0.8611111111111112;0.8888888888888888;0.75;0.8194444444444444;0.8194444444444444;0.7919710806697109;0.05579969707732694;1501
0.0073925495147705075;0.0011125097956993415;0.008193302154541015;0.002086896390733166;auto;5;distance;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.7808219178082192;0.7671232876712328;0.726027397260274;0.6986301369863014;0.8082191780821918;0.8472222222222222;0.9027777777777778;0.75;0.8055555555555556;0.8055555555555556;0.789193302891933;0.056081296587815486;1521
0.01588566303253174;0.00945227057061265;0.03097403049468994;0.02078127650082003;auto;6;uniform;{'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'uniform'};0.7945205479452054;0.7397260273972602;0.726027397260274;0.7534246575342466;0.7671232876712328;0.8888888888888888;0.9027777777777778;0.7083333333333334;0.8194444444444444;0.8194444444444444;0.7919710806697109;0.06274064408147018;1501
0.013787198066711425;0.01207972709914096;0.0077941656112670895;0.0018316727096004007;auto;6;distance;{'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance'};0.8082191780821918;0.7397260273972602;0.7534246575342466;0.684931506849315;0.8356164383561644;0.8194444444444444;0.9027777777777778;0.75;0.8194444444444444;0.8194444444444444;0.7933028919330289;0.058419240224606775;1497
0.01858336925506592;0.013824514647824204;0.03227238655090332;0.020142134088191942;auto;7;uniform;{'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'uniform'};0.7808219178082192;0.7397260273972602;0.726027397260274;0.6986301369863014;0.8356164383561644;0.8472222222222222;0.875;0.7222222222222222;0.8194444444444444;0.8194444444444444;0.7864155251141552;0.05816544560344514;1537
0.018483901023864747;0.010901840737865223;0.017885494232177734;0.017012279788716844;auto;7;distance;{'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance'};0.7808219178082192;0.7397260273972602;0.726027397260274;0.6986301369863014;0.8493150684931506;0.8333333333333334;0.8888888888888888;0.7083333333333334;0.8055555555555556;0.8194444444444444;0.7850076103500762;0.061446625842093726;1549
0.021480584144592287;0.01618758099462397;0.02637922763824463;0.01590026568027564;auto;8;uniform;{'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'uniform'};0.7945205479452054;0.726027397260274;0.7534246575342466;0.7123287671232876;0.7945205479452054;0.8611111111111112;0.8888888888888888;0.7222222222222222;0.7638888888888888;0.8055555555555556;0.7822488584474886;0.055907543149272744;1557
0.014988255500793458;0.012779222931895392;0.01728384494781494;0.012542755852398637;auto;8;distance;{'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance'};0.7945205479452054;0.7397260273972602;0.7534246575342466;0.684931506849315;0.8356164383561644;0.8194444444444444;0.9166666666666666;0.7361111111111112;0.7916666666666666;0.8333333333333334;0.7905441400304414;0.06220847034232881;1513
0.01488652229309082;0.015507977894224742;0.02457921504974365;0.01821788608767442;auto;9;uniform;{'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'uniform'};0.8082191780821918;0.7397260273972602;0.7123287671232876;0.6986301369863014;0.8082191780821918;0.8333333333333334;0.8611111111111112;0.7361111111111112;0.7916666666666666;0.8472222222222222;0.7836567732115677;0.0550327148020327;1553
0.03886821269989014;0.032214264528139566;0.025977087020874024;0.026348026330062457;auto;9;distance;{'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance'};0.8082191780821918;0.7534246575342466;0.7123287671232876;0.6986301369863014;0.8082191780821918;0.8333333333333334;0.875;0.7361111111111112;0.7916666666666666;0.8611111111111112;0.7878044140030441;0.057793647493638946;1529
0.016085314750671386;0.007467697242961387;0.0729369878768921;0.012905142729345053;auto;10;uniform;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.8082191780821918;0.726027397260274;0.726027397260274;0.7123287671232876;0.8082191780821918;0.875;0.8611111111111112;0.7222222222222222;0.7916666666666666;0.8194444444444444;0.7850266362252664;0.056903173916022794;1545
0.013586664199829101;0.007920993467863974;0.026178765296936034;0.022156841326742734;auto;10;distance;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.7808219178082192;0.7397260273972602;0.726027397260274;0.684931506849315;0.821917808219178;0.8194444444444444;0.9027777777777778;0.7222222222222222;0.8055555555555556;0.8611111111111112;0.7864535768645358;0.06489604151326761;1533
0.00849146842956543;0.001908201211279856;0.02747790813446045;0.01676311139384592;auto;11;uniform;{'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'uniform'};0.8082191780821918;0.7397260273972602;0.7534246575342466;0.7123287671232876;0.8082191780821918;0.8611111111111112;0.8611111111111112;0.7222222222222222;0.7916666666666666;0.8333333333333334;0.7891362252663623;0.05209839460998406;1525
0.016783428192138673;0.010552840806645055;0.012390542030334472;0.010113972384585529;auto;11;distance;{'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'distance'};0.8082191780821918;0.7534246575342466;0.7397260273972602;0.7123287671232876;0.821917808219178;0.8472222222222222;0.8611111111111112;0.7222222222222222;0.7916666666666666;0.8472222222222222;0.790506088280061;0.052391156301611175;1517
