Class,Threshold
mildVsAll,1.9945186404399347
mildVsAll,0.9945186404399345
mildVsAll,0.9740450515091397
mildVsAll,0.9739958518752729
mildVsAll,0.9656164331156887
mildVsAll,0.9602305901947802
mildVsAll,0.9551635863363251
mildVsAll,0.9545036230512675
mildVsAll,0.9514516303109501
mildVsAll,0.9493976683055062
mildVsAll,0.9331915387189276
mildVsAll,0.9297980229538976
mildVsAll,0.8735645521272225
mildVsAll,0.8726067616009641
mildVsAll,0.8181569575704777
mildVsAll,0.8172438837011853
mildVsAll,0.8083199911904946
mildVsAll,0.8039423652495217
mildVsAll,0.800028797459584
mildVsAll,0.7972521798210858
mildVsAll,0.7861016847511477
mildVsAll,0.7801013241795967
mildVsAll,0.777724573236932
mildVsAll,0.7770368292574064
mildVsAll,0.7695625319601377
mildVsAll,0.7628321301671054
mildVsAll,0.7599929171573219
mildVsAll,0.7571432739587173
mildVsAll,0.714394649019374
mildVsAll,0.6942726305430839
mildVsAll,0.6821197945053664
mildVsAll,0.6739799659986223
mildVsAll,0.6701939666018314
mildVsAll,0.6696854605400692
mildVsAll,0.6645476431802997
mildVsAll,0.6483085037913193
mildVsAll,0.6249740050551936
mildVsAll,0.6225214110405931
mildVsAll,0.6156364200404558
mildVsAll,0.6150734666892554
mildVsAll,0.5825336562728546
mildVsAll,0.5583329966859206
mildVsAll,0.5470740449722834
mildVsAll,0.5412252774845746
mildVsAll,0.5327518324871591
mildVsAll,0.4960008480111339
mildVsAll,0.4918814220690175
mildVsAll,0.47410155150109873
mildVsAll,0.4494610787833899
mildVsAll,0.4493180955702152
mildVsAll,0.43866466618227146
mildVsAll,0.4283303552696075
mildVsAll,0.4191888449726472
mildVsAll,0.3928759877490064
mildVsAll,0.38723246820562646
mildVsAll,0.3802934468089865
mildVsAll,0.3713912374461153
mildVsAll,0.36623515372048243
mildVsAll,0.34448323827998484
mildVsAll,0.3288801611052767
mildVsAll,0.3197028216710772
mildVsAll,0.31630263476564624
mildVsAll,0.2901182325344661
mildVsAll,0.2625111117260336
mildVsAll,0.25621495645073344
mildVsAll,0.2516864683398961
mildVsAll,0.24817841016700046
mildVsAll,0.24126828089179111
mildVsAll,0.23373248248302972
mildVsAll,0.21187358372374526
mildVsAll,0.20159801096694852
mildVsAll,0.05357771448695593
mildVsAll,0.03953168084030966
mildVsAll,3.214563701740875e-06
modVsAll,1.9883769167645884
modVsAll,0.9883769167645883
modVsAll,0.9563962139055299
modVsAll,0.8977342770018492
modVsAll,0.8463025791073927
modVsAll,0.8332216405318529
modVsAll,0.8044518720099633
modVsAll,0.8031183159936356
modVsAll,0.7930419776129259
modVsAll,0.7635343915878627
modVsAll,0.7583856006383713
modVsAll,0.7472761813787528
modVsAll,0.7340767864329487
modVsAll,0.6936809796825489
modVsAll,0.6868062991710908
modVsAll,0.6857423734297428
modVsAll,0.6698599106762333
modVsAll,0.6553954058300707
modVsAll,0.6552638181477249
modVsAll,0.6544177755475074
modVsAll,0.6400744953404439
modVsAll,0.6399869112042427
modVsAll,0.5992089506887951
modVsAll,0.5890752495731562
modVsAll,0.5855562583765166
modVsAll,0.576441139340726
modVsAll,0.5742313052271311
modVsAll,0.5712438809119351
modVsAll,0.570324920950917
modVsAll,0.5615665810933737
modVsAll,0.5534659888574038
modVsAll,0.5509918302573705
modVsAll,0.53973049640548
modVsAll,0.5388312040284982
modVsAll,0.5347602996829213
modVsAll,0.5194182429838528
modVsAll,0.514811693484601
