mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_activation;param_hidden_layer_sizes;param_learning_rate;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.6541393518447876;0.017699591188257122;0.003996896743774414;0.0010953443881010834;identity;1;adaptive;{'activation': 'identity', 'hidden_layer_sizes': 1, 'learning_rate': 'adaptive'};0.7808219178082192;0.7945205479452054;0.6986301369863014;0.6712328767123288;0.7534246575342466;0.75;0.8611111111111112;0.7222222222222222;0.8055555555555556;0.75;0.758751902587519;0.052177261654571025;295
0.6266618251800538;0.014851844851256091;0.0034973621368408203;0.0006696709521094614;identity;1;constant;{'activation': 'identity', 'hidden_layer_sizes': 1, 'learning_rate': 'constant'};0.7808219178082192;0.7945205479452054;0.6986301369863014;0.6712328767123288;0.7534246575342466;0.75;0.8611111111111112;0.7222222222222222;0.8055555555555556;0.75;0.758751902587519;0.052177261654571025;295
0.6567366361618042;0.03216253187178504;0.003697037696838379;0.0010050361285889738;identity;1;invscaling;{'activation': 'identity', 'hidden_layer_sizes': 1, 'learning_rate': 'invscaling'};0.7808219178082192;0.7945205479452054;0.6986301369863014;0.6712328767123288;0.7534246575342466;0.75;0.8611111111111112;0.7222222222222222;0.8055555555555556;0.75;0.758751902587519;0.052177261654571025;295
0.6674283266067504;0.02488283800266795;0.0036968231201171876;0.0007811965708162454;identity;2;adaptive;{'activation': 'identity', 'hidden_layer_sizes': 2, 'learning_rate': 'adaptive'};0.7808219178082192;0.8356164383561644;0.7534246575342466;0.6986301369863014;0.821917808219178;0.8611111111111112;0.8888888888888888;0.7916666666666666;0.8472222222222222;0.7638888888888888;0.8043188736681888;0.054419208301233604;286
0.651940107345581;0.011029246169356705;0.003996944427490235;0.0008936429098769079;identity;2;constant;{'activation': 'identity', 'hidden_layer_sizes': 2, 'learning_rate': 'constant'};0.7808219178082192;0.8356164383561644;0.7534246575342466;0.6986301369863014;0.821917808219178;0.8611111111111112;0.8888888888888888;0.7916666666666666;0.8472222222222222;0.7638888888888888;0.8043188736681888;0.054419208301233604;286
0.6575361728668213;0.01365857884803106;0.003996729850769043;0.0014821517669992314;identity;2;invscaling;{'activation': 'identity', 'hidden_layer_sizes': 2, 'learning_rate': 'invscaling'};0.7808219178082192;0.8356164383561644;0.7534246575342466;0.6986301369863014;0.821917808219178;0.8611111111111112;0.8888888888888888;0.7916666666666666;0.8472222222222222;0.7638888888888888;0.8043188736681888;0.054419208301233604;286
0.6549384355545044;0.02038513625848033;0.00389707088470459;0.0009424680596568633;identity;3;adaptive;{'activation': 'identity', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive'};0.8082191780821918;0.7534246575342466;0.726027397260274;0.7534246575342466;0.821917808219178;0.9166666666666666;0.9166666666666666;0.7777777777777778;0.8194444444444444;0.8194444444444444;0.8113013698630137;0.06128085249699865;274
0.6696257352828979;0.01628154736978458;0.004496455192565918;0.0016268195304509408;identity;3;constant;{'activation': 'identity', 'hidden_layer_sizes': 3, 'learning_rate': 'constant'};0.8082191780821918;0.7534246575342466;0.726027397260274;0.7534246575342466;0.821917808219178;0.9166666666666666;0.9166666666666666;0.7777777777777778;0.8194444444444444;0.8194444444444444;0.8113013698630137;0.06128085249699865;274
0.6505419254302979;0.008530038664368899;0.004596138000488281;0.0014271105321560494;identity;3;invscaling;{'activation': 'identity', 'hidden_layer_sizes': 3, 'learning_rate': 'invscaling'};0.8082191780821918;0.7534246575342466;0.726027397260274;0.7534246575342466;0.821917808219178;0.9166666666666666;0.9166666666666666;0.7777777777777778;0.8194444444444444;0.8194444444444444;0.8113013698630137;0.06128085249699865;274
0.6774192094802857;0.016005416586601713;0.004296040534973145;0.0016745898138036002;identity;4;adaptive;{'activation': 'identity', 'hidden_layer_sizes': 4, 'learning_rate': 'adaptive'};0.7808219178082192;0.821917808219178;0.7671232876712328;0.6712328767123288;0.821917808219178;0.9027777777777778;0.9166666666666666;0.7777777777777778;0.8472222222222222;0.8611111111111112;0.8168569254185692;0.06839706603931306;241
0.6627319574356079;0.016593108120383802;0.003797435760498047;0.0012485260848889529;identity;4;constant;{'activation': 'identity', 'hidden_layer_sizes': 4, 'learning_rate': 'constant'};0.7808219178082192;0.821917808219178;0.7671232876712328;0.6712328767123288;0.821917808219178;0.9027777777777778;0.9166666666666666;0.7777777777777778;0.8472222222222222;0.8611111111111112;0.8168569254185692;0.06839706603931306;241
0.6580360174179077;0.01612393406876629;0.0037966489791870115;0.0012480540564896935;identity;4;invscaling;{'activation': 'identity', 'hidden_layer_sizes': 4, 'learning_rate': 'invscaling'};0.7808219178082192;0.821917808219178;0.7671232876712328;0.6712328767123288;0.821917808219178;0.9027777777777778;0.9166666666666666;0.7777777777777778;0.8472222222222222;0.8611111111111112;0.8168569254185692;0.06839706603931306;241
0.5860977172851562;0.01707422276865974;0.0035972118377685545;0.0010194404738386423;identity;5;adaptive;{'activation': 'identity', 'hidden_layer_sizes': 5, 'learning_rate': 'adaptive'};0.821917808219178;0.7945205479452054;0.7808219178082192;0.7534246575342466;0.8493150684931506;0.8888888888888888;0.9166666666666666;0.8055555555555556;0.8194444444444444;0.875;0.8305555555555555;0.04867168437398113;34
