param_eta;param_max_depth;param_min_child_weight;param_n_estimators;mean_test_score;rank_test_score
0;3;1;0;0.488261035;2881
0;3;1;50;0.488261035;2881
0;3;1;100;0.488261035;2881
0;3;1;150;0.488261035;2881
0;3;1;200;0.488261035;2881
0;3;1;250;0.488261035;2881
0;3;1;300;0.488261035;2881
0;3;1;350;0.488261035;2881
0;3;1;400;0.488261035;2881
0;3;1;450;0.488261035;2881
0;3;2;0;0.488261035;2881
0;3;2;50;0.488261035;2881
0;3;2;100;0.488261035;2881
0;3;2;150;0.488261035;2881
0;3;2;200;0.488261035;2881
0;3;2;250;0.488261035;2881
0;3;2;300;0.488261035;2881
0;3;2;350;0.488261035;2881
0;3;2;400;0.488261035;2881
0;3;2;450;0.488261035;2881
0;3;3;0;0.488261035;2881
0;3;3;50;0.488261035;2881
0;3;3;100;0.488261035;2881
0;3;3;150;0.488261035;2881
0;3;3;200;0.488261035;2881
0;3;3;250;0.488261035;2881
0;3;3;300;0.488261035;2881
0;3;3;350;0.488261035;2881
0;3;3;400;0.488261035;2881
0;3;3;450;0.488261035;2881
0;3;4;0;0.488261035;2881
0;3;4;50;0.488261035;2881
0;3;4;100;0.488261035;2881
0;3;4;150;0.488261035;2881
0;3;4;200;0.488261035;2881
0;3;4;250;0.488261035;2881
0;3;4;300;0.488261035;2881
0;3;4;350;0.488261035;2881
0;3;4;400;0.488261035;2881
0;3;4;450;0.488261035;2881
0;3;5;0;0.488261035;2881
0;3;5;50;0.488261035;2881
0;3;5;100;0.488261035;2881
0;3;5;150;0.488261035;2881
0;3;5;200;0.488261035;2881
0;3;5;250;0.488261035;2881
0;3;5;300;0.488261035;2881
0;3;5;350;0.488261035;2881
0;3;5;400;0.488261035;2881
0;3;5;450;0.488261035;2881
0;3;6;0;0.488261035;2881
0;3;6;50;0.488261035;2881
0;3;6;100;0.488261035;2881
0;3;6;150;0.488261035;2881
0;3;6;200;0.488261035;2881
0;3;6;250;0.488261035;2881
0;3;6;300;0.488261035;2881
0;3;6;350;0.488261035;2881
0;3;6;400;0.488261035;2881
0;3;6;450;0.488261035;2881
0;3;7;0;0.488261035;2881
0;3;7;50;0.488261035;2881
0;3;7;100;0.488261035;2881
0;3;7;150;0.488261035;2881
0;3;7;200;0.488261035;2881
0;3;7;250;0.488261035;2881
0;3;7;300;0.488261035;2881
0;3;7;350;0.488261035;2881
0;3;7;400;0.488261035;2881
0;3;7;450;0.488261035;2881
0;3;8;0;0.488261035;2881
0;3;8;50;0.488261035;2881
0;3;8;100;0.488261035;2881
0;3;8;150;0.488261035;2881
0;3;8;200;0.488261035;2881
0;3;8;250;0.488261035;2881
0;3;8;300;0.488261035;2881
0;3;8;350;0.488261035;2881
0;3;8;400;0.488261035;2881
0;3;8;450;0.488261035;2881
0;3;9;0;0.488261035;2881
0;3;9;50;0.488261035;2881
0;3;9;100;0.488261035;2881
0;3;9;150;0.488261035;2881
0;3;9;200;0.488261035;2881
0;3;9;250;0.488261035;2881
0;3;9;300;0.488261035;2881
0;3;9;350;0.488261035;2881
0;3;9;400;0.488261035;2881
0;3;9;450;0.488261035;2881
0;3;10;0;0.488261035;2881
0;3;10;50;0.488261035;2881
0;3;10;100;0.488261035;2881
0;3;10;150;0.488261035;2881
0;3;10;200;0.488261035;2881
0;3;10;250;0.488261035;2881
0;3;10;300;0.488261035;2881
0;3;10;350;0.488261035;2881
0;3;10;400;0.488261035;2881
0;3;10;450;0.488261035;2881
0;4;1;0;0.488261035;2881
0;4;1;50;0.488261035;2881
0;4;1;100;0.488261035;2881
0;4;1;150;0.488261035;2881
0;4;1;200;0.488261035;2881
0;4;1;250;0.488261035;2881
0;4;1;300;0.488261035;2881
0;4;1;350;0.488261035;2881
0;4;1;400;0.488261035;2881
0;4;1;450;0.488261035;2881
0;4;2;0;0.488261035;2881
0;4;2;50;0.488261035;2881
0;4;2;100;0.488261035;2881
0;4;2;150;0.488261035;2881
0;4;2;200;0.488261035;2881
0;4;2;250;0.488261035;2881
0;4;2;300;0.488261035;2881
0;4;2;350;0.488261035;2881
0;4;2;400;0.488261035;2881
0;4;2;450;0.488261035;2881
0;4;3;0;0.488261035;2881
0;4;3;50;0.488261035;2881
0;4;3;100;0.488261035;2881
0;4;3;150;0.488261035;2881
0;4;3;200;0.488261035;2881
0;4;3;250;0.488261035;2881
0;4;3;300;0.488261035;2881
0;4;3;350;0.488261035;2881
0;4;3;400;0.488261035;2881
0;4;3;450;0.488261035;2881
0;4;4;0;0.488261035;2881
0;4;4;50;0.488261035;2881
0;4;4;100;0.488261035;2881
0;4;4;150;0.488261035;2881
0;4;4;200;0.488261035;2881
0;4;4;250;0.488261035;2881
0;4;4;300;0.488261035;2881
0;4;4;350;0.488261035;2881
0;4;4;400;0.488261035;2881
0;4;4;450;0.488261035;2881
0;4;5;0;0.488261035;2881
0;4;5;50;0.488261035;2881
0;4;5;100;0.488261035;2881
0;4;5;150;0.488261035;2881
0;4;5;200;0.488261035;2881
0;4;5;250;0.488261035;2881
0;4;5;300;0.488261035;2881
0;4;5;350;0.488261035;2881
0;4;5;400;0.488261035;2881
0;4;5;450;0.488261035;2881
0;4;6;0;0.488261035;2881
0;4;6;50;0.488261035;2881
0;4;6;100;0.488261035;2881
0;4;6;150;0.488261035;2881
0;4;6;200;0.488261035;2881
0;4;6;250;0.488261035;2881
0;4;6;300;0.488261035;2881
0;4;6;350;0.488261035;2881
0;4;6;400;0.488261035;2881
0;4;6;450;0.488261035;2881
0;4;7;0;0.488261035;2881
0;4;7;50;0.488261035;2881
0;4;7;100;0.488261035;2881
0;4;7;150;0.488261035;2881
0;4;7;200;0.488261035;2881
0;4;7;250;0.488261035;2881
0;4;7;300;0.488261035;2881
0;4;7;350;0.488261035;2881
0;4;7;400;0.488261035;2881
0;4;7;450;0.488261035;2881
0;4;8;0;0.488261035;2881
0;4;8;50;0.488261035;2881
0;4;8;100;0.488261035;2881
0;4;8;150;0.488261035;2881
0;4;8;200;0.488261035;2881
0;4;8;250;0.488261035;2881
0;4;8;300;0.488261035;2881
0;4;8;350;0.488261035;2881
0;4;8;400;0.488261035;2881
0;4;8;450;0.488261035;2881
0;4;9;0;0.488261035;2881
0;4;9;50;0.488261035;2881
0;4;9;100;0.488261035;2881
0;4;9;150;0.488261035;2881
