mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.1157605648040771,0.13082114887449284,0.07682898044586181,0.01520694552258715,0.01,gini,auto,1,350,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 350}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
1.226158046722412,0.08874523517274574,0.08731880187988281,0.012935654981679064,0.01,gini,auto,1,400,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 400}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
1.4783992290496826,0.21322822903210253,0.09790899753570556,0.015380467309235488,0.01,gini,auto,1,450,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 450}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
1.4664103746414185,0.06866142929414798,0.09810194969177247,0.006816485235310142,0.01,gini,auto,1,500,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 500}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
1.5935345888137817,0.05504267957195695,0.10777642726898193,0.005718357297453463,0.01,gini,auto,1,550,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 550}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
1.7156767845153809,0.06037034913135424,0.11509284973144532,0.004991316509669557,0.01,gini,auto,1,600,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 600}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
1.856571626663208,0.042741059533705286,0.12288544178009034,0.005435535579194025,0.01,gini,auto,1,650,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 650}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
2.0253146648406983,0.07230903079225771,0.13487427234649657,0.006979268488874909,0.01,gini,auto,1,700,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 700}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
2.2134605884552,0.07778046051885144,0.1467885732650757,0.007986164635851804,0.01,gini,auto,1,750,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 750}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
2.3543001890182493,0.07445150391758178,0.15518054962158204,0.00885742002712028,0.01,gini,auto,1,800,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 800}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
2.526998734474182,0.07677961081857261,0.16650981903076173,0.009435513065021679,0.01,gini,auto,1,850,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_features': 'auto', 'max_samples': 1, 'n_estimators': 850}",0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.4849453178400546,0.0028973906478702437,1159
