param_ccp_alpha;param_max_features;param_max_samples;param_n_estimators;mean_test_score;rank_test_score
0.3;auto;10;350;0.816875951;115
0.3;auto;10;400;0.809988584;319
0.3;auto;10;450;0.808618721;364
0.3;auto;10;500;0.814117199;202
0.3;auto;10;550;0.807229833;409
0.3;auto;10;600;0.807248858;400
0.3;auto;10;650;0.808637747;361
0.3;sqrt;1;350;0.49511035;994
0.3;sqrt;1;400;0.496480213;931
0.3;sqrt;1;450;0.496480213;931
0.3;sqrt;1;500;0.496480213;931
0.3;sqrt;1;550;0.493740487;1009
0.3;sqrt;1;600;0.496480213;931
0.3;sqrt;1;650;0.499257991;913
0.3;sqrt;2;350;0.772583714;673
0.3;sqrt;2;400;0.762861492;697
0.3;sqrt;2;450;0.762728311;709
0.3;sqrt;2;500;0.750399543;745
0.3;sqrt;2;550;0.765658295;685
0.3;sqrt;2;600;0.753253425;733
0.3;sqrt;2;650;0.761586758;721
0.3;sqrt;3;350;0.80304414;481
0.3;sqrt;3;400;0.792028158;631
0.3;sqrt;3;450;0.790639269;634
0.3;sqrt;3;500;0.793398021;616
0.3;sqrt;3;550;0.794805936;607
0.3;sqrt;3;600;0.793436073;613
0.3;sqrt;3;650;0.798953577;586
0.3;sqrt;4;350;0.800266362;553
0.3;sqrt;4;400;0.793398021;616
0.3;sqrt;4;450;0.800285388;550
0.3;sqrt;4;500;0.800304414;547
0.3;sqrt;4;550;0.80304414;478
0.3;sqrt;4;600;0.80585997;427
0.3;sqrt;4;650;0.801731355;493
0.3;sqrt;5;350;0.805802892;451
0.3;sqrt;5;400;0.808542618;382
0.3;sqrt;5;450;0.809988584;319
0.3;sqrt;5;500;0.804433029;466
0.3;sqrt;5;550;0.808561644;379
0.3;sqrt;5;600;0.811339422;292
0.3;sqrt;5;650;0.807248858;400
0.3;sqrt;6;350;0.801655251;523
0.3;sqrt;6;400;0.811377473;265
0.3;sqrt;6;450;0.809988584;319
0.3;sqrt;6;500;0.811377473;265
0.3;sqrt;6;550;0.807210807;418
0.3;sqrt;6;600;0.807248858;400
0.3;sqrt;6;650;0.811358447;280
0.3;sqrt;7;350;0.804471081;463
0.3;sqrt;7;400;0.815449011;178
0.3;sqrt;7;450;0.809931507;349
0.3;sqrt;7;500;0.814079148;220
0.3;sqrt;7;550;0.807153729;424
0.3;sqrt;7;600;0.81130137;310
0.3;sqrt;7;650;0.809969559;328
0.3;sqrt;8;350;0.79478691;610
0.3;sqrt;8;400;0.798972603;556
0.3;sqrt;8;450;0.800399543;526
0.3;sqrt;8;500;0.814136225;190
0.3;sqrt;8;550;0.80858067;367
0.3;sqrt;8;600;0.805840944;436
0.3;sqrt;8;650;0.812766362;235
0.3;sqrt;9;350;0.805840944;436
0.3;sqrt;9;400;0.811358447;271
0.3;sqrt;9;450;0.812747336;238
0.3;sqrt;9;500;0.814098174;214
0.3;sqrt;9;550;0.815506088;127
0.3;sqrt;9;600;0.811339422;292
0.3;sqrt;9;650;0.814098174;214
0.3;sqrt;10;350;0.816875951;115
0.3;sqrt;10;400;0.809988584;319
0.3;sqrt;10;450;0.808618721;364
0.3;sqrt;10;500;0.814117199;202
0.3;sqrt;10;550;0.807229833;409
0.3;sqrt;10;600;0.807248858;400
0.3;sqrt;10;650;0.808637747;361
0.3;log2;1;350;0.49511035;994
0.3;log2;1;400;0.496480213;931
0.3;log2;1;450;0.496480213;931
0.3;log2;1;500;0.496480213;931
0.3;log2;1;550;0.493740487;1009
0.3;log2;1;600;0.496480213;931
0.3;log2;1;650;0.499257991;913
0.3;log2;2;350;0.772583714;673
0.3;log2;2;400;0.762861492;697
0.3;log2;2;450;0.762728311;709
0.3;log2;2;500;0.750399543;745
0.3;log2;2;550;0.765658295;685
0.3;log2;2;600;0.753253425;733
0.3;log2;2;650;0.761586758;721
0.3;log2;3;350;0.80304414;481
0.3;log2;3;400;0.792028158;631
0.3;log2;3;450;0.790639269;634
0.3;log2;3;500;0.793398021;616
0.3;log2;3;550;0.794805936;607
0.3;log2;3;600;0.793436073;613
0.3;log2;3;650;0.798953577;586
0.3;log2;4;350;0.800266362;553
0.3;log2;4;400;0.793398021;616
0.3;log2;4;450;0.800285388;550
0.3;log2;4;500;0.800304414;547
0.3;log2;4;550;0.80304414;478
0.3;log2;4;600;0.80585997;427
0.3;log2;4;650;0.801731355;493
0.3;log2;5;350;0.805802892;451
0.3;log2;5;400;0.808542618;382
0.3;log2;5;450;0.809988584;319
0.3;log2;5;500;0.804433029;466
0.3;log2;5;550;0.808561644;379
0.3;log2;5;600;0.811339422;292
0.3;log2;5;650;0.807248858;400
0.3;log2;6;350;0.801655251;523
0.3;log2;6;400;0.811377473;265
0.3;log2;6;450;0.809988584;319
0.3;log2;6;500;0.811377473;265
0.3;log2;6;550;0.807210807;418
0.3;log2;6;600;0.807248858;400
0.3;log2;6;650;0.811358447;280
0.3;log2;7;350;0.804471081;463
0.3;log2;7;400;0.815449011;178
0.3;log2;7;450;0.809931507;349
0.3;log2;7;500;0.814079148;220
0.3;log2;7;550;0.807153729;424
0.3;log2;7;600;0.81130137;310
0.3;log2;7;650;0.809969559;328
0.3;log2;8;350;0.79478691;610
0.3;log2;8;400;0.798972603;556
0.3;log2;8;450;0.800399543;526
0.3;log2;8;500;0.814136225;190
0.3;log2;8;550;0.80858067;367
0.3;log2;8;600;0.805840944;436
0.3;log2;8;650;0.812766362;235
0.3;log2;9;350;0.805840944;436
0.3;log2;9;400;0.811358447;271
0.3;log2;9;450;0.812747336;238
0.3;log2;9;500;0.814098174;214
0.3;log2;9;550;0.815506088;127
0.3;log2;9;600;0.811339422;292
0.3;log2;9;650;0.814098174;214
0.3;log2;10;350;0.816875951;115
0.3;log2;10;400;0.809988584;319
0.3;log2;10;450;0.808618721;364
0.3;log2;10;500;0.814117199;202
0.3;log2;10;550;0.807229833;409
0.3;log2;10;600;0.807248858;400
0.3;log2;10;650;0.808637747;361
0.5;auto;1;350;0.49511035;994
0.5;auto;1;400;0.496480213;931
0.5;auto;1;450;0.496480213;931
0.5;auto;1;500;0.496480213;931
0.5;auto;1;550;0.493740487;1009
0.5;auto;1;600;0.496480213;931
0.5;auto;1;650;0.499257991;913
0.5;auto;2;350;0.493740487;1009
0.5;auto;2;400;0.493740487;1009
0.5;auto;2;450;0.496480213;931
0.5;auto;2;500;0.493740487;1009
0.5;auto;2;550;0.496518265;928
0.5;auto;2;600;0.492370624;1039
0.5;auto;2;650;0.492370624;1039
0.5;auto;3;350;0.502149924;910
0.5;auto;3;400;0.491038813;1045
0.5;auto;3;450;0.503405632;907
0.5;auto;3;500;0.492408676;1033
0.5;auto;3;550;0.504851598;898
0.5;auto;3;600;0.492408676;1033
0.5;auto;3;650;0.491038813;1045
0.5;auto;4;350;0.508999239;874
0.5;auto;4;400;0.506221461;892
0.5;auto;4;450;0.506183409;895
0.5;auto;4;500;0.504813546;904
0.5;auto;4;550;0.508961187;877
0.5;auto;4;600;0.508961187;877
0.5;auto;4;650;0.504851598;898
0.5;auto;5;350;0.511738965;757
0.5;auto;5;400;0.511738965;757
0.5;auto;5;450;0.511738965;757
0.5;auto;5;500;0.511738965;757
0.5;auto;5;550;0.511738965;757
0.5;auto;5;600;0.508961187;877
0.5;auto;5;650;0.507629376;886
0.5;auto;6;350;0.511738965;757
0.5;auto;6;400;0.510369102;868
0.5;auto;6;450;0.511738965;757
0.5;auto;6;500;0.510369102;868
0.5;auto;6;550;0.511738965;757
0.5;auto;6;600;0.511738965;757
0.5;auto;6;650;0.506259513;889
0.5;auto;7;350;0.511738965;757
0.5;auto;7;400;0.511738965;757
0.5;auto;7;450;0.511738965;757
0.5;auto;7;500;0.511738965;757
0.5;auto;7;550;0.511738965;757
0.5;auto;7;600;0.511738965;757
0.5;auto;7;650;0.511738965;757
0.5;auto;8;350;0.511738965;757
0.5;auto;8;400;0.511738965;757
0.5;auto;8;450;0.511738965;757
0.5;auto;8;500;0.511738965;757
0.5;auto;8;550;0.511738965;757
0.5;auto;8;600;0.511738965;757
0.5;auto;8;650;0.511738965;757
0.5;auto;9;350;0.511738965;757
0.5;auto;9;400;0.511738965;757
0.5;auto;9;450;0.511738965;757
0.5;auto;9;500;0.511738965;757
0.5;auto;9;550;0.511738965;757
0.5;auto;9;600;0.511738965;757
0.5;auto;9;650;0.511738965;757
0.5;auto;10;350;0.511738965;757
0.5;auto;10;400;0.511738965;757
0.5;auto;10;450;0.511738965;757
0.5;auto;10;500;0.511738965;757
0.5;auto;10;550;0.511738965;757
0.5;auto;10;600;0.511738965;757
0.5;auto;10;650;0.511738965;757
0.5;sqrt;1;350;0.49511035;994
0.5;sqrt;1;400;0.496480213;931
0.5;sqrt;1;450;0.496480213;931
0.5;sqrt;1;500;0.496480213;931
0.5;sqrt;1;550;0.493740487;1009
0.5;sqrt;1;600;0.496480213;931
0.5;sqrt;1;650;0.499257991;913
0.5;sqrt;2;350;0.493740487;1009
0.5;sqrt;2;400;0.493740487;1009
0.5;sqrt;2;450;0.496480213;931
0.5;sqrt;2;500;0.493740487;1009
0.5;sqrt;2;550;0.496518265;928
0.5;sqrt;2;600;0.492370624;1039
0.5;sqrt;2;650;0.492370624;1039
0.5;sqrt;3;350;0.502149924;910
0.5;sqrt;3;400;0.491038813;1045
0.5;sqrt;3;450;0.503405632;907
0.5;sqrt;3;500;0.492408676;1033
0.5;sqrt;3;550;0.504851598;898
0.5;sqrt;3;600;0.492408676;1033
0.5;sqrt;3;650;0.491038813;1045
0.5;sqrt;4;350;0.508999239;874
0.5;sqrt;4;400;0.506221461;892
0.5;sqrt;4;450;0.506183409;895
0.5;sqrt;4;500;0.504813546;904
0.5;sqrt;4;550;0.508961187;877
0.5;sqrt;4;600;0.508961187;877
0.5;sqrt;4;650;0.504851598;898
0.5;sqrt;5;350;0.511738965;757
0.5;sqrt;5;400;0.511738965;757
0.5;sqrt;5;450;0.511738965;757
0.5;sqrt;5;500;0.511738965;757
0.5;sqrt;5;550;0.511738965;757
0.5;sqrt;5;600;0.508961187;877
0.5;sqrt;5;650;0.507629376;886
0.5;sqrt;6;350;0.511738965;757
0.5;sqrt;6;400;0.510369102;868
0.5;sqrt;6;450;0.511738965;757
0.5;sqrt;6;500;0.510369102;868
0.5;sqrt;6;550;0.511738965;757
0.5;sqrt;6;600;0.511738965;757
0.5;sqrt;6;650;0.506259513;889
0.5;sqrt;7;350;0.511738965;757
0.5;sqrt;7;400;0.511738965;757
0.5;sqrt;7;450;0.511738965;757
0.5;sqrt;7;500;0.511738965;757
0.5;sqrt;7;550;0.511738965;757
0.5;sqrt;7;600;0.511738965;757
0.5;sqrt;7;650;0.511738965;757
0.5;sqrt;8;350;0.511738965;757
0.5;sqrt;8;400;0.511738965;757
0.5;sqrt;8;450;0.511738965;757
0.5;sqrt;8;500;0.511738965;757
0.5;sqrt;8;550;0.511738965;757
0.5;sqrt;8;600;0.511738965;757
0.5;sqrt;8;650;0.511738965;757
0.5;sqrt;9;350;0.511738965;757
0.5;sqrt;9;400;0.511738965;757
0.5;sqrt;9;450;0.511738965;757
0.5;sqrt;9;500;0.511738965;757
0.5;sqrt;9;550;0.511738965;757
0.5;sqrt;9;600;0.511738965;757
0.5;sqrt;9;650;0.511738965;757
0.5;sqrt;10;350;0.511738965;757
0.5;sqrt;10;400;0.511738965;757
0.5;sqrt;10;450;0.511738965;757
0.5;sqrt;10;500;0.511738965;757
0.5;sqrt;10;550;0.511738965;757
0.5;sqrt;10;600;0.511738965;757
0.5;sqrt;10;650;0.511738965;757
0.5;log2;1;350;0.49511035;994
0.5;log2;1;400;0.496480213;931
0.5;log2;1;450;0.496480213;931
0.5;log2;1;500;0.496480213;931
0.5;log2;1;550;0.493740487;1009
0.5;log2;1;600;0.496480213;931
0.5;log2;1;650;0.499257991;913
0.5;log2;2;350;0.493740487;1009
0.5;log2;2;400;0.493740487;1009
0.5;log2;2;450;0.496480213;931
0.5;log2;2;500;0.493740487;1009
0.5;log2;2;550;0.496518265;928
0.5;log2;2;600;0.492370624;1039
0.5;log2;2;650;0.492370624;1039
0.5;log2;3;350;0.502149924;910
0.5;log2;3;400;0.491038813;1045
0.5;log2;3;450;0.503405632;907
0.5;log2;3;500;0.492408676;1033
0.5;log2;3;550;0.504851598;898
0.5;log2;3;600;0.492408676;1033
0.5;log2;3;650;0.491038813;1045
0.5;log2;4;350;0.508999239;874
0.5;log2;4;400;0.506221461;892
0.5;log2;4;450;0.506183409;895
0.5;log2;4;500;0.504813546;904
0.5;log2;4;550;0.508961187;877
0.5;log2;4;600;0.508961187;877
0.5;log2;4;650;0.504851598;898
0.5;log2;5;350;0.511738965;757
0.5;log2;5;400;0.511738965;757
0.5;log2;5;450;0.511738965;757
0.5;log2;5;500;0.511738965;757
0.5;log2;5;550;0.511738965;757
0.5;log2;5;600;0.508961187;877
0.5;log2;5;650;0.507629376;886
0.5;log2;6;350;0.511738965;757
0.5;log2;6;400;0.510369102;868
0.5;log2;6;450;0.511738965;757
0.5;log2;6;500;0.510369102;868
0.5;log2;6;550;0.511738965;757
0.5;log2;6;600;0.511738965;757
0.5;log2;6;650;0.506259513;889
0.5;log2;7;350;0.511738965;757
0.5;log2;7;400;0.511738965;757
0.5;log2;7;450;0.511738965;757
0.5;log2;7;500;0.511738965;757
0.5;log2;7;550;0.511738965;757
0.5;log2;7;600;0.511738965;757
0.5;log2;7;650;0.511738965;757
0.5;log2;8;350;0.511738965;757
0.5;log2;8;400;0.511738965;757
0.5;log2;8;450;0.511738965;757
0.5;log2;8;500;0.511738965;757
0.5;log2;8;550;0.511738965;757
0.5;log2;8;600;0.511738965;757
0.5;log2;8;650;0.511738965;757
0.5;log2;9;350;0.511738965;757
0.5;log2;9;400;0.511738965;757
0.5;log2;9;450;0.511738965;757
0.5;log2;9;500;0.511738965;757
0.5;log2;9;550;0.511738965;757
0.5;log2;9;600;0.511738965;757
0.5;log2;9;650;0.511738965;757
0.5;log2;10;350;0.511738965;757
0.5;log2;10;400;0.511738965;757
0.5;log2;10;450;0.511738965;757
0.5;log2;10;500;0.511738965;757
0.5;log2;10;550;0.511738965;757
0.5;log2;10;600;0.511738965;757
0.5;log2;10;650;0.511738965;757
