Class,Threshold
mildVsAll,1.8184782608695653
mildVsAll,0.8184782608695653
mildVsAll,0.7915376676986584
mildVsAll,0.789760348583878
mildVsAll,0.7516556291390729
mildVsAll,0.75
mildVsAll,0.7415966386554623
mildVsAll,0.7377979568671963
mildVsAll,0.6991701244813279
mildVsAll,0.6915995397008056
mildVsAll,0.6662958843159066
mildVsAll,0.658351409978308
mildVsAll,0.6375990939977351
mildVsAll,0.6375131717597471
mildVsAll,0.6367432150313153
mildVsAll,0.6355455568053994
mildVsAll,0.6331877729257641
mildVsAll,0.6327683615819208
mildVsAll,0.6270022883295194
mildVsAll,0.6244343891402715
mildVsAll,0.6171366594360087
mildVsAll,0.6158323632130384
mildVsAll,0.6149425287356322
mildVsAll,0.614572333685322
mildVsAll,0.613762486126526
mildVsAll,0.6114583333333333
mildVsAll,0.5923852183650616
mildVsAll,0.5863267670915411
mildVsAll,0.5756578947368421
mildVsAll,0.5732558139534883
mildVsAll,0.5696902654867257
mildVsAll,0.5688172043010753
mildVsAll,0.5665961945031712
mildVsAll,0.5646687697160884
mildVsAll,0.5614798694232862
mildVsAll,0.5553072625698324
mildVsAll,0.5547445255474452
mildVsAll,0.5506912442396313
mildVsAll,0.5495867768595042
mildVsAll,0.5421810699588477
mildVsAll,0.5322415557830091
mildVsAll,0.5304136253041363
mildVsAll,0.5261932479627474
mildVsAll,0.5180360721442886
mildVsAll,0.5170670037926676
mildVsAll,0.5164585698070374
mildVsAll,0.5103211009174312
mildVsAll,0.5089567966280294
mildVsAll,0.5061728395061729
mildVsAll,0.5000000000000001
mildVsAll,0.4902676399026764
mildVsAll,0.46613088404133185
mildVsAll,0.46504237288135597
mildVsAll,0.46335697399527187
mildVsAll,0.4579008073817763
mildVsAll,0.4548532731376975
mildVsAll,0.4513742071881607
mildVsAll,0.44945188794153473
mildVsAll,0.4464500601684717
mildVsAll,0.4095127610208817
mildVsAll,0.4060324825986079
mildVsAll,0.3953771289537713
mildVsAll,0.3922413793103448
mildVsAll,0.3912529550827423
mildVsAll,0.38920780711825487
mildVsAll,0.3876543209876544
mildVsAll,0.3876146788990825
mildVsAll,0.08671065032987749
modVsAll,1.4370277078085643
modVsAll,0.4370277078085642
modVsAll,0.4282238442822385
modVsAll,0.42771804062126645
modVsAll,0.3903614457831325
modVsAll,0.38744075829383884
modVsAll,0.38161209068010077
modVsAll,0.37686139747995423
modVsAll,0.37637028014616325
modVsAll,0.37470997679814383
modVsAll,0.37283950617283956
modVsAll,0.37168141592920356
modVsAll,0.36883408071748885
modVsAll,0.36314655172413796
modVsAll,0.35962145110410093
modVsAll,0.35917030567685587
modVsAll,0.35809312638580926
modVsAll,0.3574007220216607
modVsAll,0.35597189695550346
modVsAll,0.3555045871559633
modVsAll,0.3546099290780142
modVsAll,0.35138121546961326
modVsAll,0.3512544802867384
modVsAll,0.34881209503239735
modVsAll,0.3485714285714286
modVsAll,0.3474770642201835
modVsAll,0.346938775510204
modVsAll,0.3464203233256351
modVsAll,0.34545454545454546
modVsAll,0.34530938123752497
modVsAll,0.3452115812917595
modVsAll,0.3444180522565321
modVsAll,0.34329896907216495
modVsAll,0.34038054968287523
modVsAll,0.3398617511520738
modVsAll,0.3370165745856354
modVsAll,0.33674630261660976
modVsAll,0.33643771827706637
modVsAll,0.33633295838020244
modVsAll,0.33628318584070804
modVsAll,0.33524684270952926
modVsAll,0.32918552036199095
modVsAll,0.32906976744186045
modVsAll,0.32497492477432294
modVsAll,0.32444959443800697
modVsAll,0.3201251303441084
modVsAll,0.32009080590238365
modVsAll,0.3120340788072417
modVsAll,0.3110273327049953
modVsAll,0.3083140877598152
modVsAll,0.3080967402733964
modVsAll,0.3077753779697624
modVsAll,0.30742857142857144
modVsAll,0.3055848261327713
modVsAll,0.30482456140350883
modVsAll,0.3047120418848167
modVsAll,0.30186608122941827
modVsAll,0.2992849846782431
modVsAll,0.2978494623655914
modVsAll,0.29517396184062855
modVsAll,0.29411764705882354
modVsAll,0.2925026399155227
modVsAll,0.2910694597574421
modVsAll,0.2905027932960894
modVsAll,0.2830188679245283
modVsAll,0.2825651302605211
modVsAll,0.2820037105751392
modVsAll,0.2819383259911894
modVsAll,0.2788461538461538
modVsAll,0.27777777777777773
modVsAll,0.27507447864945384
modVsAll,0.27379679144385033
modVsAll,0.2722029988465975
modVsAll,0.2710911136107987
modVsAll,0.2643343051506316
modVsAll,0.26426076833527357
modVsAll,0.26411075612353563
modVsAll,0.2638248847926267
modVsAll,0.256578947368421
modVsAll,0.2554660529344074
modVsAll,0.24918389553862894
modVsAll,0.2486828240252898
modVsAll,0.24153005464480876
modVsAll,0.2406779661016949
modVsAll,0.22624434389140272
modVsAll,0.22604166666666667
modVsAll,0.21081677704194263
modVsAll,0.20998864926220204
modVsAll,0.17211328976034856
modVsAll,0.16884531590413943
modVsAll,0.14565217391304347
sevVsAll,1.6236345580933467
sevVsAll,0.6236345580933467
sevVsAll,0.6155484558040468
sevVsAll,0.6022620169651273
sevVsAll,0.5046728971962617
sevVsAll,0.5
sevVsAll,0.47522522522522526
sevVsAll,0.47108307045215564
sevVsAll,0.41382575757575757
sevVsAll,0.40865384615384615
sevVsAll,0.3942505133470226
sevVsAll,0.3802363050483351
sevVsAll,0.37847222222222227
sevVsAll,0.37410071942446044
sevVsAll,0.36792452830188677
sevVsAll,0.3660049627791563
sevVsAll,0.36462882096069865
sevVsAll,0.36210762331838564
sevVsAll,0.33435270132517847
sevVsAll,0.3292682926829268
sevVsAll,0.31995412844036697
sevVsAll,0.31022727272727274
sevVsAll,0.3051506316812439
sevVsAll,0.2758186397984887
sevVsAll,0.2697768762677485
sevVsAll,0.2663605051664753
sevVsAll,0.2640883977900552
sevVsAll,0.25413711583924353
sevVsAll,0.2530413625304136
sevVsAll,0.250843644544432
sevVsAll,0.24771689497716892
sevVsAll,0.23380900109769487
sevVsAll,0.2291196388261851
sevVsAll,0.20867768595041322
sevVsAll,0.20847651775486828
sevVsAll,0.20405982905982906
sevVsAll,0.20023696682464454
sevVsAll,0.15577342047930282
sevVsAll,0.15537383177570094
sevVsAll,0.13333333333333336
sevVsAll,0.13261648745519714
sevVsAll,0.12818003913894327
sevVsAll,0.12723449001051526
sevVsAll,0.1096045197740113
sevVsAll,0.10946408209806158
sevVsAll,0.022099447513812157
